Site,ll,Fa
WSB,0.040955,0.755252117
WSB,0.041015,0.768678808
WSB,0.04487,0.776569551
WSB,0.043995,0.848549424
WSB,0.05544,0.585998535
WSB,0.062005,0.527975559
WSB,0.05597,0.674764633
WSB,0.0451,0.711336821
WSB,0.041015,0.768678808
WSB,0.04487,0.776569551
WSB,0.039605,0.826648645
WSB,0.04119,0.711284919
WSB,0.038945,0.806553006
WSB,0.03006,0.866215846
WSB,0.03239,0.849305722
WSB,0.0403,0.74371511
WSB,0.05597,0.674764633
WSB,0.034185,0.813413337
WSB,0.041015,0.768678808
WSB,0.044625,0.752594574
WSB,0.073815,0.714099789
WSB,0.038675,0.840618459
WSB,0.03006,0.866215846
WSB,0.03724,0.836576508
WSB,0.043775,0.847698697
WSB,0.041095,0.843667356
WSB,0.03018,0.854876688
WSB,0.038475,0.762185312
WSB,0.034265,0.810216596
WSB,0.03125,0.863574474
WSB,0.034595,0.815222078
WSB,0.04359,0.718456935
WSB,0.034185,0.813413337
WSB,0.041015,0.768678808
WSB,0.04487,0.776569551
WSB,0.031375,0.863722891
WSB,0.038655,0.835948599
WSB,0.04888,0.766498551
WSB,0.03006,0.866215846
WSB,0.034635,0.833348136
WSB,0.034035,0.82316137
WSB,0.043145,0.7966568
WSB,0.03918,0.843518205
WSB,0.04625,0.745758617
WSB,0.065485,0.88369936
WSB,0.03918,0.843518205
WSB,0.052495,0.867114915
WSB,0.08453,0.716743624
WSB,0.05614,0.854764166
WSB,0.034865,0.880485876
WSB,0.0579,0.529144287
WSB,0.051205,0.595632851
WSB,0.058555,0.570886612
WSB,0.05146,0.619241068
WSB,0.048015,0.64700681
WSB,0.042505,0.744097646
WSB,0.037905,0.790292525
WSB,0.036915,0.802800501
WSB,0.036245,0.790955509
WSB,0.040575,0.77296328
WSB,0.03612,0.827382045
WSB,0.03389,0.799383662
WSB,0.04119,0.711284919
WSB,0.036245,0.790955509
WSB,0.030845,0.881745965
WSB,0.043545,0.830353914
WSB,0.043425,0.699720129
WSB,0.052105,0.670655787
WSB,0.04448,0.745109404
WSB,0.040955,0.755252117
WSB,0.0451,0.711336821
