FemaleID,MaleID,pairID,Year,FemaleAge,MaleAge,Fpair,Site,Fledged,Survived,Fmale,Ffemale,ll,Fa
68029,67506,B68029B67506,1993-94,2,3,0.328857422,WSB,3,1,0.318359375,0.30859375,0.040955,0.755252117
68030,68005,B68030B68005,1993-94,2,2,0.343505859,WSB,2,1,0.30859375,0.30859375,0.038635,0.790620195
68034,41499,B68034B41499,1993-94,2,5,0.321777344,WSB,1,1,0.318359375,0.38671875,0.042505,0.744097646
68035,43218,B68035B43218,1993-94,2,5,0.321289063,WSB,1,0,0.3046875,0.27734375,0.049225,0.663847148
68048,44882,B68048B44882,1993-94,1,7,0.395507813,MGR,2,2,0.28125,0.344238281,0.05699,0.672638136
41468,66143,B41468B66143,1994-95,7,3,0.365234375,MGR,1,1,0.388671875,0.375,0.0461,0.728773272
41474,41455,B41474B41455,1994-95,7,7,0.328125,WSB,2,2,0.4375,0.3203125,0.053855,0.647167206
41500,66169,B41500B66169,1994-95,6,4,0.299560547,TPB,2,2,0.29296875,0.318359375,0.04109,0.716109702
43207,41443,B43207B41443,1994-95,6,7,0.28515625,WSB,3,2,0.4375,0.34375,0.0512,0.62701416
43234,67557,B43234B67557,1994-95,6,3,0.48828125,WSB,2,0,0.30859375,0.3359375,0.075355,0.765422327
43237,73021,B43237B73021,1994-95,6,1,0.401367188,MGR,2,1,0.388671875,0.3046875,0.05267,0.716743624
43242,45247,B43242B45247,1994-95,6,5,0.373046875,WSB,1,1,0.27734375,0.3125,0.063005,0.60997051
44844,68014,B44844B68014,1994-95,10,3,0.26953125,WSB,2,1,0.322265625,0.375,0.05003,0.612518769
45205,66137,B45205B66137,1994-95,5,4,0.357421875,MGR,1,0,0.32421875,0.34375,0.05172,0.670655787
45208,66173,B45208B66173,1994-95,5,4,0.345703125,WSB,2,2,0.328125,0.33203125,0.044115,0.743892998
66126,41484,B66126B41484,1994-95,5,6,0.287109375,TPB,3,0,0.3125,0.33203125,0.04942,0.632719398
66134,44895,B66134B44895,1994-95,4,5,0.388671875,MGR,2,0,0.3046875,0.453125,0.05597,0.674764633
66144,66133,B66144B66133,1994-95,3,4,0.465820313,MGR,2,2,0.453125,0.388671875,0.056645,0.759195482
66162,66188,B66162B66188,1994-95,4,4,0.304199219,TPB,4,0,0.3125,0.4375,0.039465,0.763985528
